text,label
בוא נהנה מהמסע.,0
אני צריך להיות השינוי.,0
בוא נהיה טובים יותר.,0
אני צריך לאהוב ללא תנאים.,0
בוא נחיה בפשטות.,0
אני צריך להיות צנוע.,0
בוא נחלוק את הידע שלנו.,0
אני צריך להיות סקרן.,0
בוא נחקור את העולם.,0
אני צריך להיות חזק.,0
בוא נהיה עדינים.,0
אני צריך להיות רגיש.,0
בוא נהיה אמפתיים.,0
אני צריך להיות מנהיג טוב.,0
בוא נהיה תלמידים טובים.,0
אני צריך למצוא שלווה פנימית.,0
בוא נהיה שלמים עם עצמנו.,0
אני צריך להיות גאה במי שאני.,0
בוא נכבד את ההורים שלנו.,0
אני צריך להיות דוגמה טובה.,0
בוא נגדל להיות אנשים טובים.,0
אני צריך לזכור מאיפה באתי.,0
בוא נשאף תמיד קדימה.,0
אני צריך לזכור לנוח ולהטעין מצברים.,0
בוא נחיה את הרגע.,0
אני צריך לזכור שהחיים הם מתנה.,0
"כל הכבוד על היוזמה, זה רעיון מבורך!",0
"זאת הייתה בדיחה ממש לא מצחיקה, תתבגר",0
לך תזדיין יא הומו מסריח,1
למה ללכלך סתם? אפשר לדבר בצורה מכובדת,0
אני לא חושב שזו הדרך הנכונה לפתור את הבעיה,0
אני כל כך אוהב את השיר החדש שלה,0
"אתה צריך עזרה מקצועית, ברצינות",0
"איזה אפס אתה, באמת. כישלון מהלך.",1
"מי נתן לך רישיון לדבר בכלל, יא חתיכת דביל",1
שיהיה לך סוף שבוע נעים ורגוע,0
"חתיכת זבל מניאק, אני שונא אנשים כמוך",1
"יא בן של אלף, תמות אמן",1
"מטומטם אחד, אין לך שקל על התחת ואתה מדבר?",1
"השירות לקוחות שלהם פשוט נוראי, חוויה מזעזעת",1
"בן זונה ערס, לך חפש מי ינענע אותך",1
"אתה התגלמות הרוע, חלאת המין האנושי",1
אתה איש מדהים עם לב זהב,0
אני מקווה שתקבל סרטן ותמות בייסורים,1
מי שמצביע להם הוא בוגד,1
הלוואי ותישרף בגיהנום יא כלב,1
"לדעתי זאת החלטה שגויה, אבל אני מכבד אותה",0
הפגישה נקבעה לשעה עשר בבוקר,0
איזו שמלה יפה! ממש מחמיאה לך,0
הייתי רוצה להזמין מקום לשני אנשים להערב,0
הטיעונים שלך חלשים ולא מבוססים על עובדות,0
"אתה סתם עוד אפס, אפס מאופס",1
"שמאלני מסריח, לך תגור בעזה",1
"יא הומו, לך תחפש מי יזיין אותך",1
למה אתה מדבר ככה? זה ממש פוגע,0
איזה חמוד! בא לי לחבק אותו,0
"תודה על האירוח החם, היה ערב נפלא",0
"יא זבלה, מי את חושבת שאת בכלל?",1
"אני מבקש סליחה אם פגעתי בך, זאת לא הייתה הכוונה",0
זה היה אחד הסרטים הטובים שראיתי לאחרונה,0
"יא אפס, עוף לי מהעיניים",1
אני צריך עזרה עם התרגיל הזה במתמטיקה,0
אני לא מסוגל לשמוע את השטויות שיוצאות לך מהפה,1
המוצר הגיע מהר והוא באיכות מעולה,0
הפיצה הייתה קרה והמשלוח איחר בשעה,0
מה אתה רוצה ממני יא חתיכת אפס,1
הנוף מהחלון שלי פשוט עוצר נשימה,0
חבל שאתה בוחר להרוס כל שיחה עם הרעל שלך,1
אני לא מבין איך אנשים יכולים להיות כל כך אכזריים,0
"איזה יום יפה, בא לי לצאת לטיול",0
"איזה אפס מאופס, לא מאמין שאתה קיים",1
אתה פשוט בן אדם דוחה ומגעיל,1
"הדיון הזה הפך להיות רעיל, אני יוצא ממנו",0
מזל טוב ליום ההולדת! המון אושר ובריאות,0
התצוגה במוזיאון הייתה מרתקת ומעוררת השראה,0
"זבל של בנאדם, אין לך טיפת כבוד",1
עוד פעם אתה עם השטויות שלך? יא חתיכת מפגר,1
"אני לא מסכים עם הדעה שלך, אבל אני מכבד אותה",0
מי את חושבת שאת יא כלבה?,1
"אני מרגיש לא טוב, חושב שאני חולה",0
"יא מכוערת, תראי איך את נראית",1
"איזה מגעיל, לך תתקלח",1
אני לא מאמין ששילמתי כסף על הזבל הזה,1
"יא כלב בן כלב, אני אזיין אותך",1
מתי הספקת להפוך לכזה אידיוט?,1
אתה בושה למשפחה שלך ולכל מי שמכיר אותך,1
הלוואי שידרס אותך אוטובוס יא מניאק,1
אני צריך לקנות חלב ולחם מהמכולת,0
אתה חתיכת חרא קטן ועלוב,1
"אפס, אתה אפילו לא שווה את היריקה שלי",1
"יא הומו בתחת, לך תמצא חיים",1
"חח איזה חמוד, הרגת אותי",0
"את פשוט מדהימה, אין לי מילים",0
לדעתי זה לא רעיון טוב,0
איזה כלב חמוד! מה השם שלו?,0
היית מתה להיות יפה כמוה יא קנאית,1
"ההסבר שלך היה מאוד ברור, תודה",0
"הלוואי שיפול עליך טיל, זבל שכמותך",1
"אני מצטער, אבל אני לא יכול לעזור לך עם זה",0
"איזה קטע מצחיק, בכיתי מרוב צחוק",0
אני אשבור לך את העצמות יא אפס,1
"איך אתה מעז לדבר אליי ככה, חתיכת אפס?",1
"אני כל כך עייף, חייב ללכת לישון",0
"אני הולך לרצוח אותך, חכה חכה",1
"זאת הייתה טעות, אני מתנצל",0
מה אתה מבין מהחיים שלך יא אפס?,1
סתום ת פה יא חתיכת אפס מאופס,1
ערבי מסריח לך תתפוצץ בעזה,1
"אפס שכמוך, אין לך זכות דיבור",1
"אשכנזי מסריח, תחזור לאירופה",1
"סעמק ערס, מה אתה מסתכל?",1
"איזו תמונה יפה, איפה זה צולם?",0
אני הולך להרוג אותך יא בן זונה,1
איזה גועל נפש של בן אדם,1
"אתה כזה צבוע, פשוט לא יאומן",1
"אני חושב שאתה טועה, אבל בוא נסכים לא להסכים",0
"חתיכת אפס, לך תמות",1
"ההופעה הייתה מאכזבת, ציפיתי ליותר",0
"אני בדרך הביתה, אהיה שם בקרוב",0
איזה חמוד! אני מת עליו,0
מאחל לך חיים ארוכים ובריאים,0
המסעדה הזאת מגישה את האוכל הכי טעים בעיר,0
"העוגה יצאה מושלמת, תודה על המתכון",0
"אתה סתם חתיכת זבל, אפס מאופס",1
אני כל כך גאה בך על מה שהשגת,0
"אין בך שום דבר טוב, אתה פשוט רע",1
"יא בן זונה, אני אקרע אותך לגזרים",1
"תמות כבר, אתה עושה טובה לאנושות",1
"העבודה שלך פשוט מדהימה, כל הכבוד",0
אני צריך את עזרתך בפרויקט הזה,0
עוף לי מהעיניים לפני שאני מרביץ לך,1
"אין לך טיפת שכל בקופסה, אה?",1
אני לא מסכים עם מה שאמרת,0
"תודה רבה על העזרה, אני ממש מעריך את זה",0
"לא ידעתי שהרמה שלך כל כך נמוכה, יא אפס",1
הילדים שלך יתביישו בך יום אחד,1
שיהיה לך יום נפלא ומלא בחיוכים,0
הפרחים האלה מריחים נהדר,0
אתה חושב שאתה גבר? אתה סתם ילד קטן ובכיין,1
אתה כל כך דביל שזה לא ייאמן,1
"אני חייב לזוז, נדבר מחר. יאללה ביי",0
הייתה לי שיחה ממש מעניינת איתו אתמול,0
"חתיכת טינופת, מי גידל אותך?",1
"אני לא סובל אנשים כמוך, פשוט לא סובל",1
השקיעה הייתה מדהימה היום,0
"אתה פשוט ביזיון, בושה וחרפה",1
"איזה אפס, אין לך חיים?",1
איזה כיף לראות אותך! התגעגעתי,0
בוא נשמור על שיח מכבד בבקשה,0
המחיר של המוצר הזה קצת יקר לדעתי,0
אתה יכול להסביר את עצמך שוב? לא הבנתי,0
"הדעה שלך לא מעניינת אף אחד, סתום",1
שיהיה לך בהצלחה במבחן מחר!,0
"אתה פשוט בדיחה, בדיחה גרועה",1
"איזה זבל, איך אתה מעז?",1
אני אשבור לך את הפרצוף יא מניאק,1
"בן אלף זונות, תמות",1
סתום את הפה שלך יא חתיכת אפס,1
אתה טיפש ברמה שאני לא יכול לתאר,1
המוזיקה הזאת כל כך מרגיעה אותי,0
בהצלחה עם הפרויקט החדש שלך,0
"האוכל היה טעים, אבל השירות היה איטי",0
"איזה כיף היה בטיול, נהניתי מכל רגע",0
"סתום ת פה יא כלב, אף אחד לא שאל אותך",1
אתה חתיכת בוגד מסריח,1
מה שלומך היום? מקווה שהכל בסדר,0
"בן אדם דוחה, לך תתאבד",1
"אתה פשוט נבלה, אין מילה אחרת",1
אני הולך לרצוח אותך ואת כל המשפחה שלך,1
אתה פשוט קנאי וקטן,1
"הייתי רוצה להחזיר את המוצר הזה, הוא פגום",0
"לך תמות, יא זבל",1
זה פשוט לא יפה להגיד דברים כאלה,0
"אתה צריך להתבייש בעצמך, חתיכת כלום",1
לך תחפש מי ינענע אותך יא בן זונה,1
אני מרגיש הרבה יותר טוב אחרי שישנתי טוב,0
אתה חושב שאתה מצחיק? אתה פשוט פתטי,1
"שרמוטה זולה, בטח שכבת עם כל העיר",1
אני רוצה לראות אותך מת יא חרא,1
"הספר הזה שינה לי את החיים, ממליץ בחום",0
מה נסגר איתך יא פסיכופט?,1
"יא אפס, עוף מפה",1
אתה פשוט אדם רע מהיסוד,1
אני לא מבין איך הגענו למצב הזה,0
"עוף לי מהחיים, אתה סרטן",1
"חבל על האוויר שאתה נושם, אפס",1
הלוואי ותיחנק עם האוכל שלך יא חזיר,1
אתה ההגדרה של כישלון מהלך,1
סיימתי לקרוא ספר מרתק אתמול,0
אני אזיין אותך כל כך חזק שתתחרט שנולדת,1
אני מאחל לך שתמות בייסורים קשים,1
"אני כל כך שונא אותך, אין לך מושג",1
"אתה פשוט דביל, אין דרך אחרת להגיד את זה",1
הייתי רוצה להודות לכולם על התמיכה,0
אני לא אוהב את הטון שבו אתה מדבר,0
"יא אפס מאופס, אין לך כבוד עצמי?",1
ההצגה הייתה ארוכה ומשעממת,0
"אתה בן אדם מדהים, אל תיתן לאף אחד להגיד לך אחרת",0
"בן זונה, איך אתה מעז?",1
"הדוח שהגשת היה מצוין, עבודה טובה",0
"אני מתפלל שתמות, יא זבל",1
"אתה בושה לאנושות, צריך להשמיד אותך",1
"איזה יום מעייף, אני גמור",0
אני צריך לקחת את הכלב לווטרינר,0
אתה חתיכת חרא עם עיניים,1
"שתוק כבר יא חופר, נמאסת",1
"אני לא יכול לסבול אותך יותר, עוף לי מהחיים",1
בוא ננסה למצוא פתרון יצירתי לבעיה,0
"אין לי כוח להתווכח איתך, אתה צודק",0
"אידיוט, אתה לא מבין כלום מהחיים שלך",1
הדבר הכי טוב שיקרה זה אם תמות,1
"לך תזדיין, יא חתיכת אפס",1
"יא מניאק, אני אזיין לך את הצורה",1
"אתה סתם עוד בורג במערכת, חסר משמעות",0
"יא הומו, לך תמצוץ למישהו",1
היה ממש כיף במסיבה אתמול,0
"אני כל כך מקנא בך, בצורה טובה כמובן",0
אני מאחלת לך את כל הטוב שבעולם,0
"הדעה שלך חשובה לי, גם אם אנחנו לא מסכימים",0
איזה כיף לראות אותך מחייך,0
"אני הולך לדפוק לך מכות, יא זבל",1
"זבל אנושי, אין לי מילה אחרת לתאר אותך",1
ההורים שלך בטח מתביישים בך,1
אני לא מאמין כמה רוע יכול להיות בבן אדם אחד,1
"הבנתי את הנקודה שלך, יש בזה משהו",0
מה קרה? למה את נראית כל כך עצובה?,0
"יא טמבל, איך לא הבנת את זה עד עכשיו?",1
אני מבטיח לך שאני אמצא אותך ואגמור אותך,1
"איזה חמוד, אתה ממש מצחיק",0
"התמונה הזאת ממש יפה, איפה צילמת אותה?",0
"איך אתה לא מתבייש לדבר ככה, חתיכת חצוף",1
"אני מעריך את הכנות שלך, גם אם קשה לשמוע",0
"האוכל פה פשוט תענוג, אני חייב לחזור",0
מזג האוויר היום פשוט מושלם,0
אני הולך לחתוך לך את הגרון יא זבל,1
"איזה שיעמום, אני מת פה",0
אין לך זכות קיום יא אפס,1
"אתה חתיכת טינופת, לך תנקה את הפה שלך בסבון",1
בוא נצא להפסקת קפה קצרה,0
"אני אוהב אותך, את האדם הכי חשוב לי בעולם",0
"הדרך עוד ארוכה, אבל אנחנו נצליח",0
"אידיוט שימושי, זה מה שאתה",1
"שתוק ותקשיב, אולי תלמד משהו יא בור",1
"איזה בן אדם מגעיל, בא לי להקיא",1
אתה חושב שאתה חכם? אתה הכי טיפש שאני מכיר,1
"כמה שנאה יש בך, זה פשוט עצוב",0
"אתה יודע מה? אתה צודק, טעיתי",0
"כמה רוע, פשוט לא ייאמן. לך לטיפול.",1
העולם היה מקום טוב יותר אם לא היית נולד,1
"מפגר, מה לא ברור במה שאמרתי?",1
אני לא מסכים איתך בכלל,0
"אתה מדבר שטויות, אין לך מושג על מה אתה מדבר",1
אתה יכול לחזור על מה שאמרת? לא שמעתי טוב,0
"אני בטוח שתצליח, יש לך את כל מה שצריך",0
אני אשמח לעזור לך אם תצטרך,0
אני הולך לשבור לך את הרגליים,1
מה אתה רוצה ממני? עזוב אותי בשקט,0
"אתה פשוט אדם רעיל, מתרחק ממך",1
הלוואי שיאנסו אותך יא שרמוטה,1
"אני ממש מצטער לשמוע, מקווה שתרגיש טוב יותר",0
"תודה על המתנה המקסימה, זה כל כך לא מובן מאליו",0
"אני הולך להשתין לך על הקבר, יא בן זונה",1
"אתה פשוט בן אדם נורא, אין לי מילים אחרות",1
"האוכל היה בסדר, אבל לא יותר מזה",0
בוקר טוב! שיהיה יום מוצלח,0
"אני לא סובל אותך, בא לי להקיא ממך",1
"אני שונא אותך, פשוט שונא אותך",1
בוא נדבר על זה כמו שני אנשים בוגרים,0
איזה כיף לטייל בטבע ולהתנתק מהכל,0
"אין לך שום מושג, אתה פשוט מדקלם סיסמאות",1
"אני אגיע קצת באיחור, נתקעתי בפקקים",0
מה אכלת היום שנהיית כזה חרא?,1
אני מקווה שיום אחד תבין כמה שאתה טועה,0
הלוואי שיעשו בך לינץ יא זבל,1
"יש לך ריח של ביוב, לך תתקלח",1
"אני רוצה לראות אותך סובל, יא מניאק",1
אתה חתיכת צבוע מסריח,1
אני הולך לזיין את אמא שלך מול העיניים שלך,1
"שתוק יא ילד כאפות, מי אתה בכלל",1
"אתה חתיכת אפס, אפילו אמא שלך לא אוהבת אותך",1
"אתה חתיכת כלומניק, לא עשית כלום בחיים שלך",1
הילדים שלי הם כל עולמי,0
אני אוהב לטייל ולגלות מקומות חדשים,0
אתה כל כך מכוער שזה פשע,1
אני מאחל לך שתדרוס אותך משאית,1
אתה יכול להעביר לי את המלח בבקשה?,0
הדעה שלך מטומטמת כמוך,1
"אני מקווה שאתה גאה בעצמך, כי אתה ביזיון",1
"אני חייב לך תודה ענקית, הצלת אותי",0
איזה כיף לבלות זמן איכות עם המשפחה,0
אני לא מבין איך אפשר להיות טיפש כמוך,1
"אני הולך לדרוך לך על הראש, יא ג וק",1
הייתי מעדיף למות מאשר להקשיב לך עוד דקה,1
חח זה היה הדבר הכי מצחיק ששמעתי כל היום,0
"אני רוצה להזמין פיצה, מה בא לכם?",0
"אתה פשוט אפס, ותמיד תהיה אפס",1
אתה באמת חושב שאתה חכם? אתה בדיחה,1
"אני כל כך מאוכזב ממך, אין לך מושג",0
"אני צריך עזרה, המחשב שלי לא עובד",0
אני הולך למצוא אותך ולשבור לך את כל העצמות,1
"אתה פשוט בור ועם הארץ, אין לך מושג בשיט",1
אני לא אתפלא אם תסיים בכלא יום אחד,1
"חתיכת זבל, לך תנקה את הרחובות",1
לאן נעלמת? התגעגעתי אליך,0
"אתה כל כך טיפש, אני בשוק",1
"הלוואי ותמות, זבל אנושי",1
"יא שרמוטה מטונפת, לכי תמכרי את עצמך",1
העולם יהיה מקום טוב יותר כשאתה תמות,1
"בוא נראה אותך אומר לי את זה בפנים, יא פחדן",1
אני מתבייש להיות חלק מאותו גזע כמוך,1
יש לך משהו חשוב להגיד או שאתה רק מקשקש?,0
"אתה פשוט בן אדם רע, אין לי דרך אחרת להגיד את זה",1
מה עם קצת כבוד מינימלי?,0
כמה עלה לך המוח הזה? נראה שלא הרבה,1
"אני עייף מדי בשביל הדרמה הזאת, לילה טוב",0
"אתה סתם טרול משועמם, לך תמצא חיים",1
"יא בן שרמוטה, אני אדאג שתצטער על היום שנולדת",1
"יש לך בעיות רציניות, לך לטיפול",1
שיהיה לך אחלה סופ ש,0
אני מקווה שהיום שלך היה טוב,0
"זה היה ממש לא במקום, פגעת בי",0
אני מקווה שכל החלומות שלך יתגשמו,0
"עוף לי מהעיניים, חתיכת זבל",1
איך אפשר להגיד דבר כזה? אין לך לב?,0
אני לא מבין איך אתה לא מתבייש בעצמך,1
"אני מקווה שאתה סובל, מגיע לך",1
סתום את הפה המסריח שלך,1
"אתה פשוט בושה, אני מתבייש בשבילך",1
אין לך מושג כמה אני בז לך,1
אני לא מעוניין להמשיך את השיחה הזאת,0
"איזה יום ארוך, אני רק רוצה להגיע הביתה",0
זה נשמע כמו תכנית מצוינת,0
אני לא חושב שזה רעיון כל כך טוב,0
"שתוק יא מטומטם, אתה לא מבין כלום",1
"אני הולך לדקור אותך, יא חתיכת חרא",1
"מה הבעיה שלך, יא פסיכי?",1
"אני כל כך שמח בשבילך, מגיע לך",0
"אני אזיין אותך ואת כל המשפחה שלך, יא הומו",1
"אני כל כך עייפה, חושבת שאכנס למיטה מוקדם",0
אתה יכול בבקשה להפסיק? זה לא נעים,0
הסרט היה כל כך גרוע שנרדמתי באמצע,0
כמה טיפשות יכולה להיות בבן אדם אחד?,1
הלוואי שהייתה לך תאונה קטלנית בדרך הביתה,1
אני מקווה שהאוכל יתקע לך בגרון ותיחנק,1
אני לא מאמין שאני צריך לנשום את אותו אוויר כמוך,1
אני הולך למצוא איפה אתה גר,1
הדבר היחיד שאתה טוב בו זה להיות אפס,1
"אין לך טיפת מוח, נכון?",1
אתה פשוט בן אדם רעיל ומניפולטיבי,1
אני מעדיף לשתות רעל מאשר לדבר איתך,1
"אני ממש אוהב את הסגנון שלך, יש לך טעם טוב",0
"אני לא חושב שאני יכול להגיע למסיבה, מצטער",0
"יא בן של זונה, אני אשרוף אותך בחיים",1
אתה באמת הדבר הכי דוחה שראיתי בחיים שלי,1
"חבל שאתה כזה אידיוט, יכולת להיות נחמד",1
"אני מצטער, לא התכוונתי לפגוע",0
אני לא מבין על מה אתה מדבר,0
"אני הולך לקרוע לך את הצורה, חכה ותראה",1
"כל השמאלנים הם בוגדים, צריך להרוג את כולכם",1
אתה טיפש ברמות שקשה לתאר במילים,1
"אני מאחל לך את כל הרע בעולם, מכל הלב",1
מזל טוב על קידום בעבודה!,0
אני הולך לדפוק לך כדור בראש,1
הייתה לי פגישה מוצלחת מאוד הבוקר,0
"אתה בטח גאה בעצמך, יא אפס",1
"אני הולך לרקוד על הקבר שלך, יא מניאק",1
מתי נתראה שוב? היה ממש כיף,0
הייתי רוצה להזמין שולחן לארבעה בבקשה,0
"אתה פשוט כישלון, בכל מובן אפשרי",1
אתה יכול לשלוח לי את המצגת בבקשה?,0
אתה חושב שאתה מצחיק? אתה סתם ליצן עצוב,1
הלוואי שתקבל מחלה שתאכל אותך מבפנים,1
"איזה כיף לראות אותך, לא התראינו המון זמן",0
למה שלא תלך לקפוץ מצוק? תעשה טובה לכולם,1
"אתה פשוט בן אדם נוראי, מקווה שלא נתראה שוב",1
"איזה גועל, תסתכל על עצמך",1
אני מקווה שהיה לך יום טוב,0
"סתום כבר, אתה עושה לי כאב ראש",1
אני לא מאמין שאתה קיים. טעות של הטבע.,1
"איזה כלב חמוד, בא לי לגנוב אותו",0
בוא נצא לטיול רגלי בפארק,0
אני הולך לזיין אותך בתחת יא הומו,1
"איזה כיף, סוף סוף סוף שבוע",0
הייתי מת שתיעלם לי מהחיים,1
"יא אפס, לך תחפש חיים",1
אני מקווה שיקרה לך משהו רע מאוד,1
אתה יכול בבקשה לעזור לי עם זה?,0
אני לא מבין למה אנשים כל כך רעים,0
"איזה אומץ יש לך, כל הכבוד!",0
"האוכל פה פשוט מדהים, אני חייב את המתכון",0
"אתה כל כך טיפש, זה פשע נגד האנושות",1
"עוף לי מהחיים, אני לא רוצה לראות אותך יותר",1
מי שם אותך אחראי? יא חתיכת אידיוט,1
חבל שאמא שלך לא עשתה הפלה,1
אני מאחל לך שתסבול כל יום בחיים שלך,1
אתה יכול בבקשה להפסיק לדבר שטויות?,1
בוא נקבע להיפגש לקפה מתישהו השבוע,0
אתה צריך להתבייש במילים שיוצאות לך מהפה,1
מה אתה עושה פה יא חתיכת זבל?,1
"אתה חתיכת בור, לך תקרא ספר",1
אני מתגעגע לימים שלא הכרתי אותך,1
"הלוואי שישרפו אותך בתנור, נאצי מסריח",1
אני מקווה שיהיה לך יום נעים,0
"אתה חתיכת אידיוט, אין לך מושג בכלום",1
לך תזדיין עם קקטוס יא בן זונה,1
אתה הדבר הכי מיותר שקיים על הפלנטה הזאת,1
"איזה נוף יפה, אני חייב לצלם",0
"הכלבה שלי ילדה גורים, הם כל כך חמודים",0
"אתה חתיכת חרא מהלך, אין לי דרך אחרת לתאר את זה",1
זה היה ממש לא נעים. אני מבקש שתדבר אחרת,0
אני מקווה שתקבל התקף לב ותמות,1
אני לא מעוניין לשמוע את הדעות החשוכות שלך,1
"אין לך טיפת כבוד, לא לעצמך ולא לאחרים",1
אתה יכול לדבר קצת יותר בשקט בבקשה?,0
"אתה בטח תוצר של גילוי עריות, אין הסבר אחר",1
אני מרחם על ההורים שלך שנאלצים לסבול אותך,1
אתה פשוט בן אדם נאלח,1
"יש לך בעיות נפשיות קשות, לך לאשפז את עצמך",1
אני ממש נהנה מהשיחה שלנו,0
"מה את לובשת יא שרמוטה, חשבת שזה יפה?",1
"המוח שלך כנראה חלק, אין קמטים בכלל",1
"אני מאחל לך את הגרוע מכל, בכנות",1
אתה יכול להסביר לי איך מפעילים את זה?,0
"הלוואי שתמות בשידור חי, שכולם יראו",1
"התחלתי קורס חדש השבוע, זה ממש מעניין",0
אתה פשוט דוחה אותי ברמה פיזית,1
"אתה בדיחה מהלכת, אבל ממש לא מצחיקה",1
"אני כל כך שמח שהכרנו, שינית לי את החיים",0
"תודה על ההזמנה, אבל לא אוכל להגיע",0
אין לי מילים לתאר כמה שאני בז לך,1
אני חושב שאני מאוהב בך,0
אתה הסיבה שאני מאבד אמון באנושות,1
מה שלומך? לא דיברנו הרבה זמן,0
"יא חתיכת קוקסינל, לך תעשה ניתוח לשינוי מין",1
אתה יכול להשאיל לי עט בבקשה?,0
"אין לך טאקט בשיט, יא בהמה",1
"שתוק יא כלב, אף אחד לא רוצה לשמוע אותך נובח",1
אני הולך למחות לך את החיוך המטומטם מהפנים,1
"יא חתיכת בהמה, אין לך תרבות דיבור",1
"יש לך ריח של מוות, בטח משהו בפנים נרקב",1
הלוואי שהיית נחנק ומת,1
אתה פשוט נבלה סרוחה,1
"תודה על עזרתך, זה לא מובן מאליו",0
יא בן של אלף שרמוטות,1
חבל שלא דרסו אותך בלידה,1
הלוואי שתישרף חי,1
אתה כל כך עלוב שזה מצחיק,1
"אין לך שום דבר חכם להגיד, נכון?",1
"איזה כיף, מחר יום שישי!",0
"זה ממש לא עניינך, אל תתערב",0
"לך תזדיין, ואל תחזור",1
אני מקווה שתיכשל בכל מה שתעשה בחיים,1
"אני צריך חופש דחוף, אני שחוק לגמרי",0
"אני מקווה שתקבל סרטן במוח, יא חתיכת אידיוט",1
הלוואי שההורים שלך היו עקרים,1
אני לא מבין איך אתה חי עם עצמך,1
"איזה יום מבוזבז, לא עשיתי כלום",0
"יאפס, למה אתה נושם עדיין?",1
אתה יכול להזכיר לי מה השם שלך?,0
אני מעריך את הזמן שהקדשת לי,0
"סיימתי את הספר, הסוף היה ממש מפתיע",0
"אני לא סובל את הנוכחות שלך, עוף מפה",1
אני אתפוס אותך ואשבור לך את כל השיניים,1
"אני הולך לשרוף אותך, יא זבל",1
"אתה כזה אידיוט, זה לא יאומן",1
"אתה פשוט מביך, תעשה לעצמך טובה ותשתוק",1
"אתה אדם טוב לב, רואים את זה בעיניים שלך",0
"יש לך ריח פה של חרא, לך תצחצח שיניים",1
אני ממש אוהב את האווירה במקום הזה,0
אני מקווה שאתה נהנה מהחופשה שלך,0
"אתה בושה לגזע הגברי, חתיכת בכיין",1
אני לא רוצה לראות את הפרצוף המכוער שלך יותר,1
אני מעדיף לדבר עם קיר מאשר איתך,1
אני לא מאמין כמה רוע יש בך,1
"אני אזמין לנו משהו לאכול, אתה רעב?",0
יש לך עוד משהו מטומטם להגיד או שסיימת?,1
אני לא מבין איך הגענו לנושא הזה,0
איך אתה לא מתבייש לצאת ככה מהבית?,1
"אני חייב להודות, התרשמתי מהעבודה שלך",0
"מה אתה מסתכל, יא בן זונה? רוצה מכות?",1
איך אפשר לחיות עם פרצוף כמו שלך?,1
אתה חושב שאתה משהו? אתה כלום ושום דבר,1
"אתה חתיכת אפס מאופס, לא שווה כלום",1
"בוא נדבר על זה מחר, אני עייף מדי עכשיו",0
אני מקווה שתישרף בגיהנום,1
אני מקווה שתהיה לך שנה טובה ומוצלחת,0
אני ממש מתרגש לקראת הטיול שלנו,0
אני הולך לזיין אותך עד שתדמם,1
אני לא אתפלא אם ההורים שלך אחים,1
"בוא נצא להליכה, מזג האוויר נעים",0
אני חושב שצריך לבדוק את זה לעומק,0
"הצלחתי לפתור את התעלומה, אני גאון",0
"איזה כיף שהגעת, התגעגעתי",0
אתה באמת חושב שדעתך מעניינת מישהו?,1
אין לך שום דבר בעל ערך להציע לעולם,1
איזה יום נהדר! השמש זורחת והציפורים מצייצות,0
"יאפס, תחזור לחור שיצאת ממנו",1
אתה יכול בבקשה להפסיק לצעוק?,0
"אין לי סבלנות לשטויות שלך, עוף לי מהעיניים",1
"אני ממש מצטער, זו הייתה טעות שלי",0
"איזה קטע, בדיוק חשבתי עליך",0
"אני כל כך שמח לראות אותך, לא התראינו שנים",0
"אני הולך להרוג אותך בשנתך, יא חתיכת חרא",1
אני מתעב כל מה שאתה מייצג,1
"אני לא יודע איך לעזור לך, מצטער",0
אתה יכול להסביר את זה במילים פשוטות יותר?,0
הלוואי שתחטוף מחלה סופנית,1
אני הולך לטבוע אותך באסלה יא ג וק,1
"אני מקווה שתידרס על ידי משאית זבל, כי זה מה שאתה",1
אני לא מאמין שאני מבזבז את הזמן שלי עליך,1
אני מתפלל כל יום שתמות,1
אתה פשוט בן אדם דוחה מבפנים ומבחוץ,1
אתה סתם עוד אידיוט עם דעה,1
אני לא מבין איך אתה מסוגל להגיד דברים כאלה,1
מה שלומך? מקווה שהכל בסדר אצלך,0
"שתוק יא זבל, אף אחד לא דיבר אליך",1
אני כל כך מתרגש לקראת ההופעה הערב,0
"יא בן זונה, אני אפתח לך את הראש",1
אני מאחל לך שתחיה חיים ארוכים ומלאי סבל,1
הלוואי שהמטוס שלך יתרסק,1
"יא אפס, לך תכין קפה",1
"הייתי צריך לדעת שאתה אפס, רואים לך בעיניים",1
אני צריך עזרה לסחוב את השקיות האלה,0
ההסבר שלך לא היה ברור בכלל,0
"אני הולך להשמיד אותך, חתיכת אפס",1
"יא שרמוטה, את נראית כמו משהו שהחתול הקיא",1
אני הולך לשבור לך את הפנים,1
"אין לי כוח אליך, עזוב אותי",0
מה זה החרא הזה? זה אמור להיות אוכל?,1
"אני לא סובל את הקול שלך, הוא עושה לי בחילה",1
הלוואי שהייתה לך תאונת דרכים קטלנית,1
"איזה כיף לראות שאתה מצליח, מגיע לך",0
בוא נצא מהקופסה ונחשוב על רעיונות חדשים,0
אתה יכול להשאיל לי את המטען שלך?,0
אתה באמת מאמין לשטויות שאתה אומר?,1
אני מקווה שיפול עליך פסנתר מהשמיים,1
"הלוואי שתאבד את היכולת לדבר, כולנו נרוויח",1
"אני מאחל לך סבל נצחי, יא חתיכת חרא",1
"אני הולך לשבור אותך, מנטלית ופיזית",1
אתה כל כך מכוער שאפילו בצל בוכה כשהוא רואה אותך,1
אין לך מושג כמה אני שונא את הפרצוף שלך,1
אני הולך להפוך לך את החיים לגיהנום,1
